"Li",3,0.535,13.,85.,1615.,453.69,0.98,1,167.,128.
"Be",4,1.848,4.877,190.,2743.,1560.,1.57,2,112.,96.
"B",5,2.46,4.394,27.,4273.,2348.,2.04,3,87.,84.
"C",6,2.26,5.315,140.,4300.,3823.,2.55,4,67.,76.
"N",7,0.001251,1.12e4,0.02583,77.36,63.1,3.04,3,56.,71.
"O",8,0.001429,1.12e4,0.02658,90.2,54.8,3.44,2,48.,66.
"F",9,0.001696,1.12e4,0.0277,85.03,53.5,3.98,1,42.,57.
"Ne",10,0.0009,2.24e4,0.0491,27.07,24.56,"QuantityMagnitude[Missing[""NotApplicable""]]",0,38.,58.
"Na",11,0.968,23.7,140.,1156.,370.87,0.93,1,190.,166.
"Mg",12,1.738,13.98,160.,1363.,923.,1.31,2,145.,141.
"Al",13,2.7,10.,235.,2792.,933.47,1.61,3,118.,121.
"Si",14,2.33,12.05,150.,3.2e3,1687.,1.9,4,111.,111.
"P",15,1.823,16.99,0.236,553.6,317.3,2.19,5,98.,107.
"S",16,1.96,16.36,0.205,717.87,388.36,2.58,6,88.,105.
"Cl",17,0.003214,1.103e4,0.0089,239.11,171.7,3.16,5,79.,102.
"Ar",18,0.001784,2.239e4,0.01772,87.4,83.8,"QuantityMagnitude[Missing[""NotApplicable""]]",0,71.,106.
"K",19,0.856,45.7,1.e2,1032.,336.53,0.82,1,243.,203.
"Ca",20,1.55,25.86,2.e2,1757.,1115.,1.,2,194.,176.
"Sc",21,2.985,15.06,16.,3103.,1814.,1.36,3,184.,170.
"Ti",22,4.507,10.62,22.,3560.,1941.,1.54,4,176.,160.
"V",23,6.11,8.337,31.,3680.,2183.,1.63,5,171.,153.
"Cr",24,7.19,7.232,94.,2944.,2180.,1.66,6,166.,139.
"Mn",25,7.47,7.354,7.8,2334.,1519.,1.55,4,161.,139.
"Fe",26,7.874,7.092,80.,3134.,1811.,1.83,3,156.,132.
"Co",27,8.9,6.6,1.e2,3200.,1768.,1.88,4,152.,126.
"Ni",28,8.908,6.589,91.,3186.,1728.,1.91,2,149.,124.
"Cu",29,8.96,7.092,4.e2,2835.,1357.77,1.9,2,145.,132.
"Zn",30,7.14,9.16,120.,1180.,692.68,1.65,2,142.,122.
"Ga",31,5.904,11.81,29.,2477.,302.91,1.81,3,136.,122.
"Ge",32,5.323,13.64,60.,3093.,1211.4,2.01,4,125.,120.
"As",33,5.727,13.08,50.,887.,1090.,2.18,5,114.,119.
"Se",34,4.819,16.39,0.52,958.,494.,2.55,6,103.,120.
"Br",35,3.12,25.61,0.12,332.,265.8,2.96,5,94.,120.
"Kr",36,0.00375,2.23e4,0.00943,119.93,115.79,3.,2,88.,116.
"Rb",37,1.532,55.79,58.,961.,312.46,0.82,1,265.,220.
"Sr",38,2.63,33.32,35.,1655.,1050.,0.95,2,219.,195.
"Y",39,4.472,19.88,17.,3618.,1799.,1.22,3,212.,190.
"Zr",40,6.511,14.01,23.,4682.,2128.,1.33,4,206.,175.
"Nb",41,8.57,10.84,54.,5017.,2750.,1.6,5,198.,164.
"Mo",42,10.28,9.33,139.,4912.,2896.,2.16,6,190.,154.
"Tc",43,11.5,8.4,51.,4538.,2430.,1.9,6,183.,147.
"Ru",44,12.37,8.171,120.,4423.,2607.,2.2,6,178.,146.
"Rh",45,12.45,8.2655,150.,3968.,2237.,2.28,6,173.,142.
"Pd",46,12.023,8.851,72.,3236.,1828.,2.2,4,169.,139.
"Ag",47,10.49,10.283,430.,2435.,1234.93,1.93,1,165.,145.
"Cd",48,8.65,13.,97.,1040.,594.22,1.69,2,161.,144.
"In",49,7.31,15.71,82.,2345.,429.8,1.78,3,156.,142.
"Sn",50,7.31,16.24,67.,2875.,505.08,1.96,4,145.,139.
"Sb",51,6.697,18.18,24.,1860.,903.78,2.05,5,133.,139.
"Te",52,6.24,20.45,3.,1261.,722.66,2.1,6,123.,138.
"I",53,4.94,25.69,0.449,457.5,386.9,2.66,7,115.,139.
"Xe",54,0.0059,2.2e4,0.00565,165.,161.3,2.6,6,108.,140.
"Cs",55,1.879,70.73,36.,944.,301.59,0.79,1,298.,244.
"Ba",56,3.51,39.12,18.,2143.,1000.,0.89,2,253.,215.
"La",57,6.146,22.6,13.,3737.,1193.,1.1,3,"QuantityMagnitude[Missing[""NotAvailable""]]",207.
"Ce",58,6.689,20.95,11.,3633.,1071.,1.12,4,"QuantityMagnitude[Missing[""NotAvailable""]]",204.
"Pr",59,6.64,21.22,13.,3563.,1204.,1.13,4,247.,203.
"Nd",60,7.01,20.58,17.,3.4e3,1294.,1.14,3,206.,201.
"Pm",61,7.264,20.,15.,3.3e3,1.4e3,"QuantityMagnitude[Missing[""NotAvailable""]]",3,205.,199.
"Sm",62,7.353,20.45,13.,2076.,1345.,1.17,3,238.,198.
"Eu",63,5.244,28.98,14.,1800.,1095.,"QuantityMagnitude[Missing[""NotAvailable""]]",3,231.,198.
"Gd",64,7.901,19.9,11.,3523.,1586.,1.2,3,233.,196.
"Tb",65,8.219,19.34,11.,3503.,1629.,"QuantityMagnitude[Missing[""NotAvailable""]]",3,225.,194.
"Dy",66,8.551,19.,11.,2840.,1685.,1.22,3,228.,192.
"Ho",67,8.795,18.75,16.,2973.,1747.,1.23,3,226.,192.
"Er",68,9.066,18.45,15.,3141.,1770.,1.24,3,226.,189.
"Tm",69,9.321,18.12,17.,2223.,1818.,1.25,3,222.,190.
"Yb",70,6.57,26.34,39.,1469.,1092.,"QuantityMagnitude[Missing[""NotAvailable""]]",3,222.,187.
"Lu",71,9.841,17.78,16.,3675.,1936.,1.27,3,217.,187.
"Hf",72,13.31,13.41,23.,4876.,2506.,1.3,4,208.,175.
"Ta",73,16.65,10.868,57.,5731.,3290.,1.5,5,2.e2,170.
"W",74,19.25,9.55,170.,5828.,3695.,2.36,6,193.,162.
"Re",75,21.02,8.8586,48.,5869.,3459.,1.9,7,188.,151.
"Os",76,22.59,8.421,88.,5285.,3306.,2.2,6,185.,144.
"Ir",77,22.56,8.52,150.,4701.,2739.,2.2,6,180.,141.
"Pt",78,21.45,9.095,72.,4098.,2041.5,2.28,6,177.,136.
"Au",79,19.3,10.2,320.,3129.,1337.33,2.54,5,174.,136.
"Hg",80,13.534,14.821,8.3,629.88,234.32,2.,2,171.,132.
"Tl",81,11.85,17.247,46.,1746.,577.,1.62,3,156.,145.
"Pb",82,11.34,18.27,35.,2022.,600.61,2.33,4,154.,146.
"Bi",83,9.78,21.37,8.,1837.,544.4,2.02,5,143.,148.
"Po",84,9.196,22.7,"QuantityMagnitude[Missing[""NotAvailable""]]",1235.,527.,2.,6,135.,140.
"At",85,6.4,32.8,2.,"QuantityMagnitude[Missing[""NotAvailable""]]",575.,2.2,7,127.,150.
"Rn",86,0.00973,2.28e4,0.00361,211.4,202.,"QuantityMagnitude[Missing[""NotApplicable""]]",6,120.,150.
"Fr",87,2.9,77.,"QuantityMagnitude[Missing[""NotAvailable""]]","QuantityMagnitude[Missing[""NotAvailable""]]","QuantityMagnitude[Missing[""NotAvailable""]]",0.7,1,"QuantityMagnitude[Missing[""NotAvailable""]]",260.
"Ra",88,5.,45.,19.,2010.,9.7e2,0.9,2,"QuantityMagnitude[Missing[""NotAvailable""]]",221.
"Ac",89,10.07,22.5,12.,3473.,1323.,1.1,3,"QuantityMagnitude[Missing[""NotAvailable""]]",215.
"Th",90,11.724,19.792,54.,5093.,2023.,1.3,4,"QuantityMagnitude[Missing[""NotAvailable""]]",206.
"Pa",91,15.37,15.032,47.,4273.,1845.,1.5,5,"QuantityMagnitude[Missing[""NotAvailable""]]",200.
"U",92,19.05,12.495,27.,4200.,1408.,1.38,6,"QuantityMagnitude[Missing[""NotAvailable""]]",196.
"Np",93,20.45,11.6,6.,4.3e3,917.,1.36,6,"QuantityMagnitude[Missing[""NotAvailable""]]",190.
"Pu",94,19.816,12.3,6.,3503.,913.,1.28,6,"QuantityMagnitude[Missing[""NotAvailable""]]",187.
"Am",95,13.67,17.8,10.,2284.,1449.,1.3,4,"QuantityMagnitude[Missing[""NotAvailable""]]",180.
"Cm",96,13.51,18.3,"QuantityMagnitude[Missing[""Unknown""]]",3383.,1618.,1.3,4,"QuantityMagnitude[Missing[""NotAvailable""]]",169.
"Bk",97,14.78,16.7,10.,"QuantityMagnitude[Missing[""NotAvailable""]]",1323.,1.3,4,"QuantityMagnitude[Missing[""NotAvailable""]]","QuantityMagnitude[Missing[""NotAvailable""]]"
"Cf",98,15.1,16.6,"QuantityMagnitude[Missing[""NotAvailable""]]","QuantityMagnitude[Missing[""NotAvailable""]]",1173.,1.3,4,"QuantityMagnitude[Missing[""NotAvailable""]]","QuantityMagnitude[Missing[""NotAvailable""]]"
"Es",99,8.84,28.5,"QuantityMagnitude[Missing[""NotAvailable""]]","QuantityMagnitude[Missing[""NotAvailable""]]",1133.,1.3,4,"QuantityMagnitude[Missing[""NotAvailable""]]","QuantityMagnitude[Missing[""NotAvailable""]]"
"Fm",100,9.71,26.5,"QuantityMagnitude[Missing[""NotAvailable""]]","QuantityMagnitude[Missing[""NotAvailable""]]",1800.,1.3,3,"QuantityMagnitude[Missing[""NotAvailable""]]","QuantityMagnitude[Missing[""NotAvailable""]]"
